"S.No,Taluka,Site Name,Latitude,Longitude,Fluoride_mg_per_L"
"1,Nagpur,Hudkeshwar Bk.,21.0831,79.1269,4.22"
"2,Umred,Wadegaon,21.0367,79.1908,1.45"
"3,Nagpur (R),Banawadi,21.0500,79.0928,0.40"
"4,Umred,Matkarari,20.9822,79.1378,2.41"
"5,Umred,Jampath,20.8844,79.1378,0.62"
"6,Umred,Chargoon,20.8589,79.0814,0.83"
"7,Nagpur (R),Chinnazari,20.8225,78.9561,0.95"
"8,Nagpur (U),Saubhagyanagar,21.0931,79.1208,1.63"
"9,Nagpur,Jaitala,21.1119,79.0264,0.86"
"10,Hingna,Panjari,21.0358,78.9617,2.58"
"11,Nagpur (U),Pioli Nadi,21.1889,79.1228,0.80"
"12,Hingna,Salai Dabha,20.9625,78.9500,2.67"
"13,Hingna,Lakhmpur,20.9505,78.8874,0.63"
"14,Hingna,Khairi kh.,20.9094,78.9000,3.26"
"15,Hingna,Chauki,20.8998,78.7844,0.99"
"16,Hingna,Navgadev,20.9896,78.7948,1.06"
"17,Hingna,Ambazari,21.0517,78.8744,0.70"
"18,Umred,Paradgaon,20.9128,79.3192,0.42"
"19,Umred,Virail,20.9172,79.2828,1.03"
"20,Umred,Bramhni,20.9128,79.3575,4.80"
"21,Umred,Belgao,20.8290,79.3378,0.30"
"22,Umred,Dighori,20.7783,79.2319,1.16"
"23,Nagpur (R),Shiva,21.1172,78.7439,0.61"
"24,Hingna,Digdoh,21.0886,78.7567,1.22"
"25,Hingna,Turagondi,21.1122,78.8314,1.61"
"26,Umred,Belpetty/Shedeshwar,20.7477,79.1181,1.34"
"27,Umred,Kinhala,20.7040,79.1405,1.27"
"28,Umred,Sirsi,20.6783,79.1619,0.81"
"29,Nagpur (R),Bori,20.9194,79.0111,2.33"
"30,Nagpur,Gowari,21.2697,78.9478,2.17"
"31,Umred,Umrer,20.8500,79.3333,0.9"
"32,Parseoni,Ramtek,21.4000,79.3000,0.9"
"33,Narkhed,Narkhed,21.4667,78.5333,0.5"
"34,Hingna,Gumgaon,20.9917,79.0333,0.7"
"35,Ramtek,Deolapar,21.5833,79.3667,1.3"
"36,Umred,Panchgaon,21.0333,79.1667,1.2"
"37,Kalmeshwar,Wardhamna,21.1417,78.9333,0.5"
"38,Kalmeshwar,Kalmeshwar,21.2333,78.9167,0.4"
"39,Ramtek,Chorbaoli,21.4667,79.3167,0.8"
"40,Parseoni,Parseoni,21.5500,79.1667,0.1"
"41,Parseoni,Nagalwadi,21.5667,79.0167,0.6"
"42,Ramtek,Sivani,21.4000,79.4708,1.2"
"43,Umrer,Uti,20.9500,79.2167,0.7"
"44,Mouda,Chacher,21.2833,79.3417,1.3"
"45,Ramtek,Manegaon Tek,21.6806,79.4222,0.8"
"46,Savner,Kelod,21.4597,78.8764,1.3"
"47,Hingna,Sathnaori,21.1333,78.8000,0.6"
"48,Parseoni,Nayakund,21.3667,79.1833,0.9"
"49,Savner,Khubala,21.4500,78.9667,0.9"
"50,Parseoni,Wagholi,21.3333,79.2167,0.9"
"51,Ramtek,Sirpur Toli,21.3667,79.4000,0.2"
"52,Mouda,Khat,21.2417,79.5458,1.2"
"53,Nagpur (Rural),Borkhedi,20.8833,78.9750,0.5"
"54,Katol,Chargaon (Punarwasi),21.2667,78.7583,0.5"
"55,Nagpur (Rural),Nagpur_Ramdaspeth,21.1306,79.0639,2.4"
"56,Narkhed,Lohara,21.2658,78.4083,0.2"
"57,Bhiwapur (Deshmukh),Nawegaon (Kothulna),20.8028,79.4286,1.1"
"58,Savner,Kothulna,21.4194,79.0383,1.2"
"59,Hingana,Kanholi bara,20.9333,78.8500,0.4"
"60,Umred,Makardhokda,20.8667,79.2194,0.6"
"61,Hingna,Amgaon,20.9944,78.9250,0.3"
"62,Narkhed,Sawargaon,21.3917,78.6350,0.3"
"63,Nagpur (Rural),Mohpa,21.1417,78.7625,1.2"
"64,Kalameshwar,Dhapewada,21.3028,78.9139,0.4"
"65,Kamptee,Koradi,21.2528,79.0800,0.6"
"66,Nagpur (Rural),Nagpur_Hanumanagar,21.1264,79.1056,1.6"
"67,Savner,Saoner-1,21.3897,78.9406,0.5"
"68,Katol,Nandora,21.1706,78.6111,0.4"
"69,Hingna,Takalghat,20.9144,78.9439,0.5"
"70,Savner,Bhasali Takli,21.3533,78.9906,0.3"
"71,Umred,Pipaldoi,20.8331,79.2656,0.2"
"72,Bhiwapur,Bhiwapur,20.7664,79.5164,1.0"
"73,Ramtek,Kharpada,21.5308,79.3475,0.2"
"74,Narkhed,Malapur,21.4322,78.6594,0.4"
"75,Nagpur (Rural),Gonkhedi,21.1364,78.9008,1.0"
"76,Katol,Ridhora,21.2322,78.6206,0.5"
"77,Nagpur (Rural),Nagpur_Wadi naka,21.1522,79.0178,0.3"
"78,Nagpur (Rural),Nagpur_Chinchbhavan,21.0661,79.0611,0.6"
"79,Nagpur (Rural),Nagpur_Punapur,21.1608,79.1692,0.1"
"80,Nagpur (Rural),Nagpur_Koradi naka,21.2086,79.0772,0.5"
"81,Nagpur (Rural),Nagpur_Police line takii,21.1764,79.0653,0.8"
"82,Kuhi,Kuhi-1,21.0150,79.3603,0.7"
"83,Mouda,Tarsha,21.2258,79.3811,0.51"
"84,Hingna,Mohgaon Zelpi,21.0683,78.8875,0.6"
"85,Savner,Patansaongi-2,21.3353,79.0167,0.4"
"86,Kalameshwar,Lohgad,21.3422,78.7231,0.2"
"87,Umred,Singori,20.7453,79.0697,0.4"
"88,Kaimeshwar,Tondakhairi,21.2692,78.9525,0.7"
"89,Katol,Metpanjara,21.2658,78.7128,0.4"
"90,Kaimeshwar,Sillori,21.3022,78.9731,0.2"
"91,Kaimeshwar,Khapri,21.2353,78.8350,0.7"
"92,Kaimeshwar,Linga,21.2028,78.8214,0.5"
"93,Kaimeshwar,Kohli,21.2522,78.8161,1.0"
"94,Katol,Washolli,21.2189,78.7022,0.6"
"95,Kaimeshwar,Ramgiri,21.3019,78.7514,0.6"
"96,Nagpur (Rural),Khairgaon,21.1858,78.9567,0.2"
"97,Nagpur (Rural),Satgaon,20.9297,79.0036,1.0"
"98,Kalameshwar,Ashti,21.2019,78.9683,0.7"
"99,Narkhed,Mohad,21.4686,78.4458,0.2"
"100,Mouda,Mouda-1,21.1472,79.4003,0.5"
"101,Hingna,Hingna (Dhangarpura),21.0739,78.9578,0.3"
"102,Ramtek,Karwahi,21.6689,79.4500,2.90"
"103,Ramtek,Pathrai,21.5306,79.3000,0.89"
"104,Ramtek,Kamthi,21.6067,79.3722,0.47"
"105,Ramtek,Lakhapur,21.5603,79.4311,1.16"
"106,Ramtek,Murda,21.4589,79.4164,1.11"
