"S.No,TAHSIL_NAME,Site Name,LATITUDE,LONGITUDE,Fluoride_mg_per_L"
"1,Ramtek,Amgaon,21.3889,79.3483,0.21"
"2,Ramtek,Amgaon PYT,21.3889,79.3483,0.15"
"3,Ramtek,Wadamba EW Drilling,21.6053,79.3803,0.65"
"4,Ramtek,Wadamba EW PYT,21.6053,79.3803,0.77"
"5,Ramtek,Wadamba EW Drilling,21.6053,79.3803,0.7"
"6,Ramtek,Wadamba EW PYT,21.6053,79.3803,0.72"
"7,Ramtek,Borda EW PYT 1,21.4439,79.2797,1.3"
"8,Ramtek,Borda EW PYT 2,21.4439,79.2797,1.37"
"9,Ramtek,Borda EW Drilling,21.4439,79.2797,1.4"
"10,Ramtek,Borda OW PYT,21.4439,79.2797,1"
"11,Ramtek,Chichala EW Drilling,21.3483,79.3428,0.38"
"12,Ramtek,Wadamba Ugwell 1,21.6050,79.3811,1"
"13,Ramtek,Wadamba Ugwell 2,21.6039,79.3814,0.9"
"14,Mauda,Tarsha Dugwell 1,21.2286,79.3814,0.52"
"15,Mauda,Tarsha Dugwell 2,21.2331,79.3786,0.98"
"16,Mauda,Tarsha HandPump,21.2281,79.3811,0.45"
"17,Parseoni,Nayakund Dugwell 1,21.3653,79.1947,0.67"
"18,Parseoni,Nayakund Dugwell 2,21.3667,79.2011,0.7"
"19,Parseoni,Nayakund HandPump,21.3694,79.1961,0.8"
"20,Kamptee,GumthalaDugwell 1,21.1375,79.2836,0.42"
"21,Kamptee,GumthalaDugwell 2,21.1406,79.2856,0.44"
"22,Savner,NandagomukhDugwell 1,21.4306,78.7753,0.33"
"23,Savner,NandagomukhDugwell 2,21.4211,78.7700,0.27"
"24,Savner,NandagomukhHandPump,21.4175,78.7694,0.4"
"25,Bhiwapur,Mandawa,20.7515,79.2587,0.29"
"26,Hingna,khairi Pannase,21.0977,78.9331,0.14"
"27,Kuhi,Salwa,21.0497,79.4444,1.3"
"28,KUHI,ADAM,20.9977,79.4521,0.89"
"29,BHIWAPUR,ADYAL (PU),20.8030,79.5158,0.84"
"30,MOUDA,AROU,21.3228,79.4494,0.52"
"31,MOUDA,AROU,21.1694,79.0367,0.62"
"32,BHIWAPUR,BESUR,20.6936,79.2660,2"
"33,BHIWAPUR,BESUR,21.0458,78.7250,1"
"34,MOUDA,CHACHER,21.2831,79.3372,0.65"
"35,MOUDA,CHACHER,21.0861,79.1675,1.46"
"36,HINGNA,KANHOILBA,21.2394,78.8686,0.03"
"37,SAONER,RA,21.4633,78.8792,"
"38,SAONER,KELWAD,20.8500,79.3250,0.91"
"39,NAGPUR RURAL,WATHODA,21.2825,78.8389,0.43"
"40,KUHI,WELTUR,21.1597,79.4500,0.69"
"41,BHIWAPUR,ZAMKOLI,21.0194,78.9917,0.85"
"42,NAGPUR RURAL,BAHADURA,21.0861,79.1675,0.66"
"43,Katol,Ladgaon Ow-I,21.2269,78.5644,0.24"
"44,Katol,Maragsur-EW,21.2073,78.7071,0.2"
"45,Katol,Ladgaon Ew-I,21.2269,78.5644,1.87"
"46,Katol,Khangaon Z-Low,21.2942,78.5467,0.66"
"47,Katol,Metpaniya-EW,21.2583,78.7000,0.39"
"48,Katol,Narkhed PZ,21.3381,78.5381,1.04"
"49,Katol,Khangaon Ew,21.2942,78.5467,0.94"
"50,Katol,Dorli-OW,21.2667,78.7833,"
"51,Narkhed,Lohari Sawanga-PYT,21.2600,78.4044,1"
"52,Narkhed,Sawargaon Ew,21.4008,78.6342,0.17"
"53,Narkhed,Koril Ew,21.4394,78.5822,0.2"
"54,Narkhed,Manikwada Z-III Ew,21.4969,78.4997,0.2"
"55,Narkhed,Manikwada Z-II Ew,21.4969,78.4997,0.17"
"56,Narkhed,Jamgaon Kh.-EW,21.3381,78.4367,0.55"
"57,Narkhed,Manikwada Ew PYT,21.4969,78.4997,0.24"
"58,Narkhed,Narkhed-OW,21.4722,78.5292,0.33"
"59,Narkhed,Manikwada Z-I Ew,21.4969,78.4997,0.21"
"60,Narkhed,Arambih-EW,21.2694,78.3486,0.45"
"61,Narkhed,Arambih,21.2694,78.3486,1"
"62,Narkhed,Jamgaon Kh.-EW PYT,21.3381,78.4367,0.55"
"63,Narkhed,Arambih,21.2694,78.3486,0.99"
"64,Narkhed,Khedi Ew,21.4589,78.6444,0.39"
"65,Narkhed,Arambih-EW,21.2694,78.3486,0.13"
"66,Narkhed,Thirheda-EW PYT,21.4033,78.4903,0.3"
"67,Narkhed,Belona-EW PYT,21.4833,78.4864,0.93"
"68,Narkhed,Wadvihra-EW,21.3472,78.3986,"
"69,Katol,Sonkhamh,21.2723,78.7225,1.4"
"70,Katol,Ramgiri,21.3001,78.7575,0.5"
"71,Katol,Malegaon,21.3078,78.7183,0.46"
"72,Kalmeshwar,Kohli,21.2653,78.8094,1.4"
"73,Kalmeshwar,Dahegaon,21.2163,78.9456,0.68"
"74,Kalmeshwar,Khapri,21.2397,78.8408,1.31"
"75,Kalmeshwar,Mohgaon,21.2965,78.8475,0.36"
"76,Savner,Dhapewada,21.3033,78.9050,0.53"
"77,Mauda,Gowri,21.2686,78.9497,0.36"
"78,Kalmeshwar,Khairi,21.2528,78.9517,0.9"
"79,Katol,Rauigaon,21.2376,78.7831,1.23"
"80,Kalmeshwar,Waroda,21.2636,78.9047,0.41"
"81,NAGPUR RURAL,Salai Godhani,21.0093,79.1203,0.67"
"82,Kuhi,Dhanoli,21.0418,79.2645,2.2"
