"S.No,Taluka,Site Name,Latitude,Longitude,Nitrate_mg_per_L"
"1,Nagpur,Hudkeshwar Bk.,21.0831,79.1269,40"
"2,Umred,Wadegaon,21.0367,79.1908,47"
"3,Nagpur (R),Banawadi,21.0500,79.0928,29"
"4,Umred,Matkarari,20.9822,79.1378,31"
"5,Umred,Jampath,20.8844,79.1378,28"
"6,Umred,Chargoon,20.8589,79.0814,42"
"7,Nagpur (R),Chinnazari,20.8225,78.9561,43"
"8,Nagpur (U),Saubhagyanagar,21.0931,79.1208,81"
"9,Nagpur,Jaitala,21.1119,79.0264,23"
"10,Hingna,Panjari,21.0358,78.9617,31"
"11,Nagpur (U),Pioli Nadi,21.1889,79.1228,25"
"12,Hingna,Salai Dabha,20.9625,78.9500,48"
"13,Hingna,Lakhmpur,20.9505,78.8874,19"
"14,Hingna,Khairi kh.,20.9094,78.9000,37"
"15,Hingna,Chauki,20.8998,78.7844,25"
"16,Hingna,Navgadev,20.9896,78.7948,19"
"17,Hingna,Ambazari,21.0517,78.8744,25"
"18,Umred,Paradgaon,20.9128,79.3192,12"
"19,Umred,Virail,20.9172,79.2828,37"
"20,Umred,Bramhni,20.9128,79.3575,37"
"21,Umred,Belgao,20.8290,79.3378,12"
"22,Umred,Dighori,20.7783,79.2319,17"
"23,Nagpur (R),Shiva,21.1172,78.7439,37"
"24,Hingna,Digdoh,21.0886,78.7567,37"
"25,Hingna,Turagondi,21.1122,78.8314,25"
"26,Umred,Belpetty/Shedeshwar,20.7477,79.1181,37"
"27,Umred,Kinhala,20.7040,79.1405,37"
"28,Umred,Sirsi,20.6783,79.1619,37"
"29,Nagpur (R),Bori,20.9194,79.0111,37"
"30,Nagpur,Gowari,21.2697,78.9478,37"
"31,Umred,Umrer,20.8500,79.3333,2"
"32,Parseoni,Ramtek,21.4000,79.3000,44"
"33,Narkhed,Narkhed,21.4667,78.5333,44"
"34,Hingna,Gumgaon,20.9917,79.0333,9"
"35,Ramtek,Deolapar,21.5833,79.3667,0"
"36,Umred,Panchgaon,21.0333,79.1667,28"
"37,Kalmeshwar,Wardhamna,21.1417,78.9333,4"
"38,Kalmeshwar,Kalmeshwar,21.2333,78.9167,3"
"39,Ramtek,Chorbaoli,21.4667,79.3167,0"
"40,Parseoni,Parseoni,21.5500,79.1667,11"
"41,Parseoni,Nagalwadi,21.5667,79.0167,15"
"42,Ramtek,Sivani,21.4000,79.4708,14"
"43,Umrer,Uti,20.9500,79.2167,34"
"44,Mouda,Chacher,21.2833,79.3417,4"
"45,Ramtek,Manegaon Tek,21.6806,79.4222,46"
"46,Savner,Kelod,21.4597,78.8764,42"
"47,Hingna,Sathnaori,21.1333,78.8000,42"
"48,Parseoni,Nayakund,21.3667,79.1833,33"
"49,Savner,Khubala,21.4500,78.9667,21"
"50,Parseoni,Wagholi,21.3333,79.2167,15"
"51,Ramtek,Sirpur Toli,21.3667,79.4000,24"
"52,Mouda,Khat,21.2417,79.5458,7"
"53,Nagpur (Rural),Borkhedi,20.8833,78.9750,9"
"54,Katol,Chargaon (Punarwasi),21.2667,78.7583,39"
